Transaction_ID,User_ID,Merchant_ID,Transaction_Amount,Transaction_Hour,Transaction_Day,Transaction_Month,Location_Lat,Location_Lon,Device_Type,Transaction_Type,Previous_Transaction_Days,Days_Since_Card_Issued,Fraud
TXN000000,2667,1064,884.5406365307185,16,2,2,33.83521671666908,85.635889873399,Mobile,Online,2,2265,0
TXN000001,4463,1606,4090.446093690196,0,3,4,29.30682913637248,85.22338624099172,Mobile,Online,27,509,0
TXN000002,136,213,2189.41932550922,15,7,2,13.193590871854482,87.5071109068732,Desktop,Online,17,3566,0
TXN000003,972,108,2148.0516838610442,15,4,1,23.1916131002477,82.73016809935515,Mobile,Online,26,2687,0
TXN000004,3552,1047,2426.949245564231,8,9,9,11.83524932882391,71.04346685498135,POS,In-Store,15,1551,0
TXN000005,2697,1605,2495.1327298529527,17,23,4,31.988833573163102,91.75926893706468,Desktop,In-Store,23,985,0
TXN000006,2267,174,2775.988285992084,9,9,12,19.83063767823033,80.95480929270092,Mobile,Online,20,3062,0
TXN000007,4650,1566,3166.1454142010466,23,1,6,32.61985553453884,78.488288985197,Mobile,Online,26,730,0
TXN000008,3904,1124,254.44909257751706,1,8,8,-86.67178589148939,-130.30914887514263,Mobile,Online,0,40,1
TXN000009,4768,1394,3834.9339310680775,13,26,11,8.284380410345042,74.13271206162776,Mobile,In-Store,0,1743,0
TXN000010,1059,1927,3824.6601143670396,17,2,10,13.380022725343343,72.61909013426457,POS,In-Store,7,233,0
TXN000011,467,1652,4500.661674627358,13,26,1,13.099630697072858,70.31096392029248,Mobile,Online,18,2341,0
TXN000012,1553,1125,3834.1205898405296,10,7,3,23.886959589314642,83.31511744412863,Mobile,Online,20,2837,0
TXN000013,692,877,2294.68634797834,11,7,7,22.40633161403651,90.09390759748919,Desktop,In-Store,16,48,0
TXN000014,2302,1939,5743.801561263852,22,25,3,14.696713756923861,90.96165972017295,Mobile,Online,10,194,0
TXN000015,3571,1763,1268.156304693867,23,26,2,19.4873415652824,75.67552113834975,Mobile,Online,25,3134,0
TXN000016,3823,823,240.73514076493214,3,17,7,-36.60146152437537,125.4674528724758,Mobile,Online,0,39,1
TXN000017,4360,200,720.1955742257464,16,19,7,21.568774043368528,90.34847973510757,POS,In-Store,16,1053,0
TXN000018,1710,105,75.57812996989605,18,13,2,26.055554773040598,94.03297824720522,Mobile,Online,1,2740,0
TXN000019,3074,309,50.0,13,12,4,34.901045017981545,75.62258661770497,Mobile,Online,21,1537,0
TXN000020,796,1249,141.73963174104256,20,28,9,11.798974789842912,86.70180984638824,POS,Online,25,2572,0
TXN000021,3785,1195,3046.1324050938465,7,5,4,26.222481626383058,69.06828196507367,Mobile,Online,12,3082,0
TXN000022,3258,1214,2346246.244317644,0,19,7,12.681714772744268,74.69165859987316,Mobile,Online,8,1053,1
TXN000023,2242,1204,348.7802320531573,20,4,5,19.514315824444644,69.82426087718002,Mobile,In-Store,2,654,0
TXN000024,3519,841,3855.4400848756104,20,14,8,25.79394079568775,90.02826811965087,Mobile,In-Store,18,445,0
TXN000025,2144,1473,1076.9169737123825,0,5,1,25.490127948467826,77.10679292012699,POS,Online,0,455,0
TXN000026,83,782,4454.947999922956,21,24,7,18.75558721453531,72.59645286178791,Mobile,In-Store,24,2067,0
